old	new
IAN_2brad_L1_1_S1_L001_R1_001_ACCA.trim.bt2.bam	bam_1
IAN_2brad_L1_1_S1_L001_R1_001_AGAC.trim.bt2.bam	bam_2
IAN_2brad_L1_1_S1_L001_R1_001_AGTG.trim.bt2.bam	bam_3
IAN_2brad_L1_1_S1_L001_R1_001_CATC.trim.bt2.bam	bam_4
IAN_2brad_L1_1_S1_L001_R1_001_CTAC.trim.bt2.bam	bam_5
IAN_2brad_L1_1_S1_L001_R1_001_GACT.trim.bt2.bam	bam_6
IAN_2brad_L1_1_S1_L001_R1_001_GCTT.trim.bt2.bam	bam_7
IAN_2brad_L1_1_S1_L001_R1_001_GTGA.trim.bt2.bam	bam_8
IAN_2brad_L1_1_S1_L001_R1_001_TCAC.trim.bt2.bam	bam_9
IAN_2brad_L1_1_S1_L001_R1_001_TCAG.trim.bt2.bam	bam_10
IAN_2brad_L1_1_S1_L001_R1_001_TGGT.trim.bt2.bam	bam_11
IAN_2brad_L1_1_S1_L001_R1_001_TGTC.trim.bt2.bam	bam_12
IAN_2brad_L1_2_S2_L001_R1_001_ACCA.trim.bt2.bam	bam_13
IAN_2brad_L1_2_S2_L001_R1_001_AGAC.trim.bt2.bam	bam_14
IAN_2brad_L1_2_S2_L001_R1_001_AGTG.trim.bt2.bam	bam_15
IAN_2brad_L1_2_S2_L001_R1_001_CATC.trim.bt2.bam	bam_16
IAN_2brad_L1_2_S2_L001_R1_001_CTAC.trim.bt2.bam	bam_17
IAN_2brad_L1_2_S2_L001_R1_001_GACT.trim.bt2.bam	bam_18
IAN_2brad_L1_2_S2_L001_R1_001_GCTT.trim.bt2.bam	bam_19
IAN_2brad_L1_2_S2_L001_R1_001_GTGA.trim.bt2.bam	bam_20
IAN_2brad_L1_2_S2_L001_R1_001_TCAC.trim.bt2.bam	bam_21
IAN_2brad_L1_2_S2_L001_R1_001_TCAG.trim.bt2.bam	bam_22
IAN_2brad_L1_2_S2_L001_R1_001_TGGT.trim.bt2.bam	bam_23
IAN_2brad_L1_2_S2_L001_R1_001_TGTC.trim.bt2.bam	bam_24
IAN_2brad_L1_3_S3_L001_R1_001_ACCA.trim.bt2.bam	bam_25
IAN_2brad_L1_3_S3_L001_R1_001_AGAC.trim.bt2.bam	bam_26
IAN_2brad_L1_3_S3_L001_R1_001_AGTG.trim.bt2.bam	bam_27
IAN_2brad_L1_3_S3_L001_R1_001_CATC.trim.bt2.bam	bam_28
IAN_2brad_L1_3_S3_L001_R1_001_CTAC.trim.bt2.bam	bam_29
IAN_2brad_L1_3_S3_L001_R1_001_GACT.trim.bt2.bam	bam_30
IAN_2brad_L1_3_S3_L001_R1_001_GCTT.trim.bt2.bam	bam_31
IAN_2brad_L1_3_S3_L001_R1_001_GTGA.trim.bt2.bam	bam_32
IAN_2brad_L1_3_S3_L001_R1_001_TCAC.trim.bt2.bam	bam_33
IAN_2brad_L1_3_S3_L001_R1_001_TCAG.trim.bt2.bam	bam_34
IAN_2brad_L1_3_S3_L001_R1_001_TGGT.trim.bt2.bam	bam_35
IAN_2brad_L1_3_S3_L001_R1_001_TGTC.trim.bt2.bam	bam_36
IAN_2brad_L1_4_S4_L001_R1_001_ACCA.trim.bt2.bam	bam_37
IAN_2brad_L1_4_S4_L001_R1_001_AGAC.trim.bt2.bam	bam_38
IAN_2brad_L1_4_S4_L001_R1_001_AGTG.trim.bt2.bam	bam_39
IAN_2brad_L1_4_S4_L001_R1_001_CATC.trim.bt2.bam	bam_40
IAN_2brad_L1_4_S4_L001_R1_001_CTAC.trim.bt2.bam	bam_41
IAN_2brad_L1_4_S4_L001_R1_001_GACT.trim.bt2.bam	bam_42
IAN_2brad_L1_4_S4_L001_R1_001_GCTT.trim.bt2.bam	bam_43
IAN_2brad_L1_4_S4_L001_R1_001_GTGA.trim.bt2.bam	bam_44
IAN_2brad_L1_4_S4_L001_R1_001_TCAC.trim.bt2.bam	bam_45
IAN_2brad_L1_4_S4_L001_R1_001_TCAG.trim.bt2.bam	bam_46
IAN_2brad_L1_4_S4_L001_R1_001_TGGT.trim.bt2.bam	bam_47
IAN_2brad_L1_4_S4_L001_R1_001_TGTC.trim.bt2.bam	bam_48
IAN_2brad_L1_5_S5_L001_R1_001_ACCA.trim.bt2.bam	bam_49
IAN_2brad_L1_5_S5_L001_R1_001_AGAC.trim.bt2.bam	bam_50
IAN_2brad_L1_5_S5_L001_R1_001_AGTG.trim.bt2.bam	bam_51
IAN_2brad_L1_5_S5_L001_R1_001_CATC.trim.bt2.bam	bam_52
IAN_2brad_L1_5_S5_L001_R1_001_CTAC.trim.bt2.bam	bam_53
IAN_2brad_L1_5_S5_L001_R1_001_GACT.trim.bt2.bam	bam_54
IAN_2brad_L1_5_S5_L001_R1_001_GCTT.trim.bt2.bam	bam_55
IAN_2brad_L1_5_S5_L001_R1_001_GTGA.trim.bt2.bam	bam_56
IAN_2brad_L1_5_S5_L001_R1_001_TCAC.trim.bt2.bam	bam_57
IAN_2brad_L1_5_S5_L001_R1_001_TCAG.trim.bt2.bam	bam_58
IAN_2brad_L1_5_S5_L001_R1_001_TGGT.trim.bt2.bam	bam_59
IAN_2brad_L1_5_S5_L001_R1_001_TGTC.trim.bt2.bam	bam_60
IAN_2brad_L1_6_S6_L001_R1_001_ACCA.trim.bt2.bam	bam_61
IAN_2brad_L1_6_S6_L001_R1_001_AGAC.trim.bt2.bam	bam_62
IAN_2brad_L1_6_S6_L001_R1_001_AGTG.trim.bt2.bam	bam_63
IAN_2brad_L1_6_S6_L001_R1_001_CATC.trim.bt2.bam	bam_64
IAN_2brad_L1_6_S6_L001_R1_001_CTAC.trim.bt2.bam	bam_65
IAN_2brad_L1_6_S6_L001_R1_001_GACT.trim.bt2.bam	bam_66
IAN_2brad_L1_6_S6_L001_R1_001_GCTT.trim.bt2.bam	bam_67
IAN_2brad_L1_6_S6_L001_R1_001_GTGA.trim.bt2.bam	bam_68
IAN_2brad_L1_6_S6_L001_R1_001_TCAC.trim.bt2.bam	bam_69
IAN_2brad_L1_6_S6_L001_R1_001_TCAG.trim.bt2.bam	bam_70
IAN_2brad_L1_6_S6_L001_R1_001_TGGT.trim.bt2.bam	bam_71
IAN_2brad_L1_6_S6_L001_R1_001_TGTC.trim.bt2.bam	bam_72
IAN_2brad_L1_7_S7_L001_R1_001_ACCA.trim.bt2.bam	bam_73
IAN_2brad_L1_7_S7_L001_R1_001_AGAC.trim.bt2.bam	bam_74
IAN_2brad_L1_7_S7_L001_R1_001_AGTG.trim.bt2.bam	bam_75
IAN_2brad_L1_7_S7_L001_R1_001_CATC.trim.bt2.bam	bam_76
IAN_2brad_L1_7_S7_L001_R1_001_CTAC.trim.bt2.bam	bam_77
IAN_2brad_L1_7_S7_L001_R1_001_GACT.trim.bt2.bam	bam_78
IAN_2brad_L1_7_S7_L001_R1_001_GCTT.trim.bt2.bam	bam_79
IAN_2brad_L1_7_S7_L001_R1_001_GTGA.trim.bt2.bam	bam_80
IAN_2brad_L1_7_S7_L001_R1_001_TCAC.trim.bt2.bam	bam_81
IAN_2brad_L1_7_S7_L001_R1_001_TCAG.trim.bt2.bam	bam_82
IAN_2brad_L1_7_S7_L001_R1_001_TGGT.trim.bt2.bam	bam_83
IAN_2brad_L1_7_S7_L001_R1_001_TGTC.trim.bt2.bam	bam_84
IAN_2brad_L1_8_S8_L001_R1_001_ACCA.trim.bt2.bam	bam_85
IAN_2brad_L1_8_S8_L001_R1_001_AGAC.trim.bt2.bam	bam_86
IAN_2brad_L1_8_S8_L001_R1_001_AGTG.trim.bt2.bam	bam_87
IAN_2brad_L1_8_S8_L001_R1_001_CATC.trim.bt2.bam	bam_88
IAN_2brad_L1_8_S8_L001_R1_001_CTAC.trim.bt2.bam	bam_89
IAN_2brad_L1_8_S8_L001_R1_001_GACT.trim.bt2.bam	bam_90
IAN_2brad_L1_8_S8_L001_R1_001_GCTT.trim.bt2.bam	bam_91
IAN_2brad_L1_8_S8_L001_R1_001_GTGA.trim.bt2.bam	bam_92
IAN_2brad_L1_8_S8_L001_R1_001_TCAC.trim.bt2.bam	bam_93
IAN_2brad_L1_8_S8_L001_R1_001_TCAG.trim.bt2.bam	bam_94
IAN_2brad_L1_8_S8_L001_R1_001_TGTC.trim.bt2.bam	bam_95
IAN_2brad_L2_1_S9_L002_R1_001_ACCA.trim.bt2.bam	bam_96
IAN_2brad_L2_1_S9_L002_R1_001_AGAC.trim.bt2.bam	bam_97
IAN_2brad_L2_1_S9_L002_R1_001_AGTG.trim.bt2.bam	bam_98
IAN_2brad_L2_1_S9_L002_R1_001_CATC.trim.bt2.bam	bam_99
IAN_2brad_L2_1_S9_L002_R1_001_CTAC.trim.bt2.bam	bam_100
IAN_2brad_L2_1_S9_L002_R1_001_GACT.trim.bt2.bam	bam_101
IAN_2brad_L2_1_S9_L002_R1_001_GCTT.trim.bt2.bam	bam_102
IAN_2brad_L2_1_S9_L002_R1_001_GTGA.trim.bt2.bam	bam_103
IAN_2brad_L2_1_S9_L002_R1_001_TCAC.trim.bt2.bam	bam_104
IAN_2brad_L2_1_S9_L002_R1_001_TCAG.trim.bt2.bam	bam_105
IAN_2brad_L2_1_S9_L002_R1_001_TGGT.trim.bt2.bam	bam_106
IAN_2brad_L2_1_S9_L002_R1_001_TGTC.trim.bt2.bam	bam_107
IAN_2brad_L2_2_S10_L002_R1_001_ACCA.trim.bt2.bam	bam_108
IAN_2brad_L2_2_S10_L002_R1_001_AGAC.trim.bt2.bam	bam_109
IAN_2brad_L2_2_S10_L002_R1_001_AGTG.trim.bt2.bam	bam_110
IAN_2brad_L2_2_S10_L002_R1_001_CATC.trim.bt2.bam	bam_111
IAN_2brad_L2_2_S10_L002_R1_001_CTAC.trim.bt2.bam	bam_112
IAN_2brad_L2_2_S10_L002_R1_001_GACT.trim.bt2.bam	bam_113
IAN_2brad_L2_2_S10_L002_R1_001_GCTT.trim.bt2.bam	bam_114
IAN_2brad_L2_2_S10_L002_R1_001_GTGA.trim.bt2.bam	bam_115
IAN_2brad_L2_2_S10_L002_R1_001_TCAC.trim.bt2.bam	bam_116
IAN_2brad_L2_2_S10_L002_R1_001_TCAG.trim.bt2.bam	bam_117
IAN_2brad_L2_2_S10_L002_R1_001_TGGT.trim.bt2.bam	bam_118
IAN_2brad_L2_2_S10_L002_R1_001_TGTC.trim.bt2.bam	bam_119
IAN_2brad_L2_3_S11_L002_R1_001_ACCA.trim.bt2.bam	bam_120
IAN_2brad_L2_3_S11_L002_R1_001_AGAC.trim.bt2.bam	bam_121
IAN_2brad_L2_3_S11_L002_R1_001_AGTG.trim.bt2.bam	bam_122
IAN_2brad_L2_3_S11_L002_R1_001_CATC.trim.bt2.bam	bam_123
IAN_2brad_L2_3_S11_L002_R1_001_CTAC.trim.bt2.bam	bam_124
IAN_2brad_L2_3_S11_L002_R1_001_GACT.trim.bt2.bam	bam_125
IAN_2brad_L2_3_S11_L002_R1_001_GCTT.trim.bt2.bam	bam_126
IAN_2brad_L2_3_S11_L002_R1_001_GTGA.trim.bt2.bam	bam_127
IAN_2brad_L2_3_S11_L002_R1_001_TCAC.trim.bt2.bam	bam_128
IAN_2brad_L2_3_S11_L002_R1_001_TCAG.trim.bt2.bam	bam_129
IAN_2brad_L2_3_S11_L002_R1_001_TGGT.trim.bt2.bam	bam_130
IAN_2brad_L2_3_S11_L002_R1_001_TGTC.trim.bt2.bam	bam_131
IAN_2brad_L2_4_S12_L002_R1_001_ACCA.trim.bt2.bam	bam_132
IAN_2brad_L2_4_S12_L002_R1_001_AGAC.trim.bt2.bam	bam_133
IAN_2brad_L2_4_S12_L002_R1_001_AGTG.trim.bt2.bam	bam_134
IAN_2brad_L2_4_S12_L002_R1_001_CATC.trim.bt2.bam	bam_135
IAN_2brad_L2_4_S12_L002_R1_001_CTAC.trim.bt2.bam	bam_136
IAN_2brad_L2_4_S12_L002_R1_001_GACT.trim.bt2.bam	bam_137
IAN_2brad_L2_4_S12_L002_R1_001_GCTT.trim.bt2.bam	bam_138
IAN_2brad_L2_4_S12_L002_R1_001_GTGA.trim.bt2.bam	bam_139
IAN_2brad_L2_4_S12_L002_R1_001_TCAC.trim.bt2.bam	bam_140
IAN_2brad_L2_4_S12_L002_R1_001_TCAG.trim.bt2.bam	bam_141
IAN_2brad_L2_4_S12_L002_R1_001_TGGT.trim.bt2.bam	bam_142
IAN_2brad_L2_4_S12_L002_R1_001_TGTC.trim.bt2.bam	bam_143
IAN_2brad_L2_5_S13_L002_R1_001_ACCA.trim.bt2.bam	bam_144
IAN_2brad_L2_5_S13_L002_R1_001_AGAC.trim.bt2.bam	bam_145
IAN_2brad_L2_5_S13_L002_R1_001_AGTG.trim.bt2.bam	bam_146
IAN_2brad_L2_5_S13_L002_R1_001_CATC.trim.bt2.bam	bam_147
IAN_2brad_L2_5_S13_L002_R1_001_CTAC.trim.bt2.bam	bam_148
IAN_2brad_L2_5_S13_L002_R1_001_GACT.trim.bt2.bam	bam_149
IAN_2brad_L2_5_S13_L002_R1_001_GCTT.trim.bt2.bam	bam_150
IAN_2brad_L2_5_S13_L002_R1_001_GTGA.trim.bt2.bam	bam_151
IAN_2brad_L2_5_S13_L002_R1_001_TCAC.trim.bt2.bam	bam_152
IAN_2brad_L2_5_S13_L002_R1_001_TCAG.trim.bt2.bam	bam_153
IAN_2brad_L2_5_S13_L002_R1_001_TGGT.trim.bt2.bam	bam_154
IAN_2brad_L2_5_S13_L002_R1_001_TGTC.trim.bt2.bam	bam_155
IAN_2brad_L2_6_S14_L002_R1_001_ACCA.trim.bt2.bam	bam_156
IAN_2brad_L2_6_S14_L002_R1_001_AGAC.trim.bt2.bam	bam_157
IAN_2brad_L2_6_S14_L002_R1_001_AGTG.trim.bt2.bam	bam_158
IAN_2brad_L2_6_S14_L002_R1_001_CATC.trim.bt2.bam	bam_159
IAN_2brad_L2_6_S14_L002_R1_001_CTAC.trim.bt2.bam	bam_160
IAN_2brad_L2_6_S14_L002_R1_001_GACT.trim.bt2.bam	bam_161
IAN_2brad_L2_6_S14_L002_R1_001_GCTT.trim.bt2.bam	bam_162
IAN_2brad_L2_6_S14_L002_R1_001_GTGA.trim.bt2.bam	bam_163
